,MethodA,MethodB,ReferenceCount
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.shipCity,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.shipCountry,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.shipState,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.shipToFirstName,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.shipToLastName,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.shipZip,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.status,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.totalPrice,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.username,1
0,org.mybatis.jpetstore.domain.Order.setBillAddress1,org.mybatis.jpetstore.domain.Order.billAddress1,1
0,org.mybatis.jpetstore.domain.Order.setBillAddress2,org.mybatis.jpetstore.domain.Order.billAddress2,1
0,org.mybatis.jpetstore.domain.Order.setBillCity,org.mybatis.jpetstore.domain.Order.billCity,1
0,org.mybatis.jpetstore.domain.Order.setBillCountry,org.mybatis.jpetstore.domain.Order.billCountry,1
0,org.mybatis.jpetstore.domain.Order.setBillState,org.mybatis.jpetstore.domain.Order.billState,1
0,org.mybatis.jpetstore.domain.Order.setBillToFirstName,org.mybatis.jpetstore.domain.Order.billToFirstName,1
0,org.mybatis.jpetstore.domain.Order.setBillToLastName,org.mybatis.jpetstore.domain.Order.billToLastName,1
0,org.mybatis.jpetstore.domain.Order.setBillZip,org.mybatis.jpetstore.domain.Order.billZip,1
0,org.mybatis.jpetstore.domain.Order.setCardType,org.mybatis.jpetstore.domain.Order.cardType,1
0,org.mybatis.jpetstore.domain.Order.setCourier,org.mybatis.jpetstore.domain.Order.courier,1
0,org.mybatis.jpetstore.domain.Order.setCreditCard,org.mybatis.jpetstore.domain.Order.creditCard,1
0,org.mybatis.jpetstore.domain.Order.setExpiryDate,org.mybatis.jpetstore.domain.Order.expiryDate,1
0,org.mybatis.jpetstore.domain.Order.setLineItems,org.mybatis.jpetstore.domain.Order.lineItems,1
0,org.mybatis.jpetstore.domain.Order.setLocale,org.mybatis.jpetstore.domain.Order.locale,1
0,org.mybatis.jpetstore.domain.Order.setOrderDate,org.mybatis.jpetstore.domain.Order.orderDate,1
0,org.mybatis.jpetstore.domain.Order.setOrderId,org.mybatis.jpetstore.domain.Order.orderId,1
0,org.mybatis.jpetstore.domain.Order.setShipAddress1,org.mybatis.jpetstore.domain.Order.shipAddress1,1
0,org.mybatis.jpetstore.domain.Order.setShipAddress2,org.mybatis.jpetstore.domain.Order.shipAddress2,1
0,org.mybatis.jpetstore.domain.Order.setShipCity,org.mybatis.jpetstore.domain.Order.shipCity,1
0,org.mybatis.jpetstore.domain.Order.setShipCountry,org.mybatis.jpetstore.domain.Order.shipCountry,1
0,org.mybatis.jpetstore.domain.Order.setShipState,org.mybatis.jpetstore.domain.Order.shipState,1
0,org.mybatis.jpetstore.domain.Order.setShipToFirstName,org.mybatis.jpetstore.domain.Order.shipToFirstName,1
0,org.mybatis.jpetstore.domain.Order.setShipToLastName,org.mybatis.jpetstore.domain.Order.shipToLastName,1
0,org.mybatis.jpetstore.domain.Order.setShipZip,org.mybatis.jpetstore.domain.Order.shipZip,1
0,org.mybatis.jpetstore.domain.Order.setStatus,org.mybatis.jpetstore.domain.Order.status,1
0,org.mybatis.jpetstore.domain.Order.setTotalPrice,org.mybatis.jpetstore.domain.Order.totalPrice,1
0,org.mybatis.jpetstore.domain.Order.setUsername,org.mybatis.jpetstore.domain.Order.username,1
0,org.mybatis.jpetstore.domain.Product.getCategoryId,org.mybatis.jpetstore.domain.Product.categoryId,1
0,org.mybatis.jpetstore.domain.Product.getDescription,org.mybatis.jpetstore.domain.Product.description,1
0,org.mybatis.jpetstore.domain.Product.getName,org.mybatis.jpetstore.domain.Product.name,1
0,org.mybatis.jpetstore.domain.Product.getProductId,org.mybatis.jpetstore.domain.Product.productId,1
0,org.mybatis.jpetstore.domain.Product.setCategoryId,org.mybatis.jpetstore.domain.Product.categoryId,1
0,org.mybatis.jpetstore.domain.Product.setDescription,org.mybatis.jpetstore.domain.Product.description,1
0,org.mybatis.jpetstore.domain.Product.setName,org.mybatis.jpetstore.domain.Product.name,1
0,org.mybatis.jpetstore.domain.Product.setProductId,org.mybatis.jpetstore.domain.Product.productId,1
0,org.mybatis.jpetstore.domain.Product.toString,org.mybatis.jpetstore.domain.Product.getName,1
0,org.mybatis.jpetstore.domain.Sequence.Sequence,org.mybatis.jpetstore.domain.Sequence.name,1
0,org.mybatis.jpetstore.domain.Sequence.Sequence,org.mybatis.jpetstore.domain.Sequence.nextId,1
0,org.mybatis.jpetstore.domain.Sequence.getName,org.mybatis.jpetstore.domain.Sequence.name,1
0,org.mybatis.jpetstore.domain.Sequence.getNextId,org.mybatis.jpetstore.domain.Sequence.nextId,1
0,org.mybatis.jpetstore.domain.Sequence.setName,org.mybatis.jpetstore.domain.Sequence.name,1
0,org.mybatis.jpetstore.domain.Sequence.setNextId,org.mybatis.jpetstore.domain.Sequence.nextId,1
0,org.mybatis.jpetstore.service.AccountService.AccountService,org.mybatis.jpetstore.service.AccountService.accountMapper,1
0,org.mybatis.jpetstore.service.AccountService.getAccount,org.mybatis.jpetstore.mapper.AccountMapper.getAccountByUsername,1
